date,areaCode,areaName,areaType,newAdmissions
2021-04-14,K02000001,United Kingdom,overview,192
2021-04-13,K02000001,United Kingdom,overview,180
2021-04-12,K02000001,United Kingdom,overview,205
2021-04-11,K02000001,United Kingdom,overview,201
2021-04-10,K02000001,United Kingdom,overview,181
2021-04-09,K02000001,United Kingdom,overview,204
2021-04-08,K02000001,United Kingdom,overview,206
2021-04-07,K02000001,United Kingdom,overview,233
2021-04-06,K02000001,United Kingdom,overview,223
2021-04-05,K02000001,United Kingdom,overview,234
2021-04-04,K02000001,United Kingdom,overview,196
2021-04-03,K02000001,United Kingdom,overview,222
2021-04-02,K02000001,United Kingdom,overview,238
2021-04-01,K02000001,United Kingdom,overview,234
2021-03-31,K02000001,United Kingdom,overview,269
2021-03-30,K02000001,United Kingdom,overview,256
2021-03-29,K02000001,United Kingdom,overview,251
2021-03-28,K02000001,United Kingdom,overview,271
2021-03-27,K02000001,United Kingdom,overview,270
2021-03-26,K02000001,United Kingdom,overview,299
2021-03-25,K02000001,United Kingdom,overview,338
2021-03-24,K02000001,United Kingdom,overview,347
2021-03-23,K02000001,United Kingdom,overview,365
2021-03-22,K02000001,United Kingdom,overview,360
2021-03-21,K02000001,United Kingdom,overview,357
2021-03-20,K02000001,United Kingdom,overview,363
2021-03-19,K02000001,United Kingdom,overview,381
2021-03-18,K02000001,United Kingdom,overview,448
2021-03-17,K02000001,United Kingdom,overview,446
2021-03-16,K02000001,United Kingdom,overview,440
2021-03-15,K02000001,United Kingdom,overview,500
2021-03-14,K02000001,United Kingdom,overview,425
2021-03-13,K02000001,United Kingdom,overview,461
2021-03-12,K02000001,United Kingdom,overview,480
2021-03-11,K02000001,United Kingdom,overview,550
2021-03-10,K02000001,United Kingdom,overview,567
2021-03-09,K02000001,United Kingdom,overview,579
2021-03-08,K02000001,United Kingdom,overview,576
2021-03-07,K02000001,United Kingdom,overview,536
2021-03-06,K02000001,United Kingdom,overview,637
2021-03-05,K02000001,United Kingdom,overview,599
2021-03-04,K02000001,United Kingdom,overview,703
2021-03-03,K02000001,United Kingdom,overview,714
2021-03-02,K02000001,United Kingdom,overview,834
2021-03-01,K02000001,United Kingdom,overview,821
2021-02-28,K02000001,United Kingdom,overview,770
2021-02-27,K02000001,United Kingdom,overview,741
2021-02-26,K02000001,United Kingdom,overview,862
2021-02-25,K02000001,United Kingdom,overview,969
2021-02-24,K02000001,United Kingdom,overview,1020
2021-02-23,K02000001,United Kingdom,overview,1119
2021-02-22,K02000001,United Kingdom,overview,1119
2021-02-21,K02000001,United Kingdom,overview,1155
2021-02-20,K02000001,United Kingdom,overview,1087
2021-02-19,K02000001,United Kingdom,overview,1270
2021-02-18,K02000001,United Kingdom,overview,1335
2021-02-17,K02000001,United Kingdom,overview,1408
2021-02-16,K02000001,United Kingdom,overview,1492
2021-02-15,K02000001,United Kingdom,overview,1503
2021-02-14,K02000001,United Kingdom,overview,1535
2021-02-13,K02000001,United Kingdom,overview,1426
2021-02-12,K02000001,United Kingdom,overview,1507
2021-02-11,K02000001,United Kingdom,overview,1678
2021-02-10,K02000001,United Kingdom,overview,1725
2021-02-09,K02000001,United Kingdom,overview,1753
2021-02-08,K02000001,United Kingdom,overview,1919
2021-02-07,K02000001,United Kingdom,overview,1849
2021-02-06,K02000001,United Kingdom,overview,1891
2021-02-05,K02000001,United Kingdom,overview,2005
2021-02-04,K02000001,United Kingdom,overview,2142
2021-02-03,K02000001,United Kingdom,overview,2358
2021-02-02,K02000001,United Kingdom,overview,2479
2021-02-01,K02000001,United Kingdom,overview,2601
2021-01-31,K02000001,United Kingdom,overview,2402
2021-01-30,K02000001,United Kingdom,overview,2471
2021-01-29,K02000001,United Kingdom,overview,2685
2021-01-28,K02000001,United Kingdom,overview,3041
2021-01-27,K02000001,United Kingdom,overview,3058
2021-01-26,K02000001,United Kingdom,overview,3144
2021-01-25,K02000001,United Kingdom,overview,2930
2021-01-24,K02000001,United Kingdom,overview,3110
2021-01-23,K02000001,United Kingdom,overview,3112
2021-01-22,K02000001,United Kingdom,overview,3391
2021-01-21,K02000001,United Kingdom,overview,3632
2021-01-20,K02000001,United Kingdom,overview,4044
2021-01-19,K02000001,United Kingdom,overview,4158
2021-01-18,K02000001,United Kingdom,overview,4063
2021-01-17,K02000001,United Kingdom,overview,3749
2021-01-16,K02000001,United Kingdom,overview,3938
2021-01-15,K02000001,United Kingdom,overview,3675
2021-01-14,K02000001,United Kingdom,overview,4099
2021-01-13,K02000001,United Kingdom,overview,4224
2021-01-12,K02000001,United Kingdom,overview,4577
2021-01-11,K02000001,United Kingdom,overview,4309
2021-01-10,K02000001,United Kingdom,overview,3931
2021-01-09,K02000001,United Kingdom,overview,4126
2021-01-08,K02000001,United Kingdom,overview,3997
2021-01-07,K02000001,United Kingdom,overview,4291
2021-01-06,K02000001,United Kingdom,overview,4394
2021-01-05,K02000001,United Kingdom,overview,4116
2021-01-04,K02000001,United Kingdom,overview,3936
2021-01-03,K02000001,United Kingdom,overview,3648
2021-01-02,K02000001,United Kingdom,overview,3439
2021-01-01,K02000001,United Kingdom,overview,3368
2020-12-31,K02000001,United Kingdom,overview,2915
2020-12-30,K02000001,United Kingdom,overview,3285
2020-12-29,K02000001,United Kingdom,overview,3250
2020-12-28,K02000001,United Kingdom,overview,3131
2020-12-27,K02000001,United Kingdom,overview,2871
2020-12-26,K02000001,United Kingdom,overview,2529
2020-12-25,K02000001,United Kingdom,overview,2183
2020-12-24,K02000001,United Kingdom,overview,2082
