date,newcases,cumcases,newdeaths,cumdeaths
2021-04-20,2524,4393307,33.0,127307.0
2021-04-19,2963,4390783,4.0,127274.0
2021-04-18,1882,4387820,10.0,127270.0
2021-04-17,2206,4385938,35.0,127260.0
2021-04-16,2596,4383732,34.0,127225.0
2021-04-15,2672,4380976,30.0,127191.0
2021-04-14,2491,4378305,38.0,127161.0
2021-04-13,2472,4375814,23.0,127123.0
2021-04-12,3568,4373343,13.0,127100.0
2021-04-11,1730,4369775,7.0,127087.0
2021-04-10,2589,4368045,40.0,127080.0
2021-04-09,3150,4365461,60.0,127040.0
2021-04-08,3030,4370321,53.0,126980.0
2021-04-07,2763,4367291,45.0,126927.0
2021-04-06,2379,4364529,20.0,126882.0
2021-04-05,2762,4362150,26.0,126862.0
2021-04-04,2297,4359388,10.0,126836.0
2021-04-03,3423,4357091,10.0,126826.0
2021-04-02,3402,4353668,52.0,126816.0
2021-04-01,4479,4350266,51.0,126764.0
2021-03-31,4052,4345788,43.0,126713.0
2021-03-30,4040,4341736,56.0,126670.0
2021-03-29,4654,4337696,23.0,126615.0
2021-03-28,3862,4333042,19.0,126592.0
2021-03-27,4715,4329180,58.0,126573.0
2021-03-26,6187,4325315,70.0,126515.0
2021-03-25,6397,4319128,63.0,126445.0
2021-03-24,5605,4312908,98.0,126382.0
2021-03-23,5379,4307304,112.0,126284.0
2021-03-22,5342,4301925,17.0,126172.0
2021-03-21,5312,4296583,33.0,126155.0
2021-03-20,5587,4291271,96.0,126122.0
2021-03-19,4802,4285684,101.0,126026.0
2021-03-18,6303,4280882,95.0,125926.0
2021-03-17,5758,4274579,141.0,125831.0
2021-03-16,5294,4268821,110.0,125690.0
2021-03-15,5089,4263527,64.0,125580.0
2021-03-14,4618,4258438,52.0,125516.0
2021-03-13,5534,4253820,121.0,125464.0
2021-03-12,6609,4248286,175.0,125343.0
2021-03-11,6753,4241677,181.0,125168.0
2021-03-10,5926,4234924,190.0,124987.0
2021-03-09,5766,4228998,231.0,124797.0
2021-03-08,4712,4223232,65.0,124566.0
2021-03-07,5177,4218520,82.0,124501.0
2021-03-06,6040,4213343,158.0,124419.0
2021-03-05,5947,4207304,236.0,124261.0
2021-03-04,6573,4201358,242.0,124025.0
2021-03-03,6385,4194785,315.0,123783.0
2021-03-02,6391,4188400,343.0,123296.0
2021-03-01,5455,4182009,104.0,122953.0
2021-02-28,6035,4176554,144.0,122849.0
2021-02-27,7434,4170519,290.0,122705.0
2021-02-26,8523,4163085,345.0,122415.0
2021-02-25,9985,4154562,323.0,122070.0
2021-02-24,9938,4144577,442.0,121747.0
2021-02-23,8489,4134639,548.0,121305.0
2021-02-22,10641,4126150,178.0,120757.0
2021-02-21,9834,4115509,215.0,120580.0
2021-02-20,10406,4105675,445.0,120365.0
2021-02-19,12027,4095269,533.0,119920.0
2021-02-18,12057,4083242,454.0,119387.0
2021-02-17,12718,4071185,738.0,118933.0
2021-02-16,10625,4058468,799.0,118195.0
2021-02-15,9765,4047843,230.0,117396.0
2021-02-14,10972,4038078,258.0,117166.0
2021-02-13,13308,4027106,621.0,116908.0
2021-02-12,15144,4013799,758.0,116287.0
2021-02-11,13494,3998655,678.0,115529.0
2021-02-10,13013,3985161,1001.0,114851.0
2021-02-09,12364,3972148,1052.0,113850.0
2021-02-08,14104,3959784,333.0,112798.0
2021-02-07,15845,3945680,373.0,112465.0
2021-02-06,18262,3929835,828.0,112092.0
2021-02-05,19114,3911573,1014.0,111264.0
2021-02-04,20634,3892459,915.0,110250.0
2021-02-03,19202,3871825,1322.0,109335.0
2021-02-02,16840,3852623,1449.0,108013.0
2021-02-01,18607,3835783,406.0,106564.0
2021-01-31,21088,3817176,587.0,106158.0
2021-01-30,23275,3796088,1200.0,105571.0
2021-01-29,29079,3772813,1245.0,104371.0
2021-01-28,28680,3743734,1239.0,103126.0
2021-01-27,25308,3715054,1725.0,101887.0
2021-01-26,20089,3689746,1631.0,100162.0
2021-01-25,22195,3669658,592.0,98531.0
2021-01-24,30004,3647463,610.0,97939.0
2021-01-23,33552,3617459,1348.0,97329.0
2021-01-22,40261,3583907,1401.0,95981.0
2021-01-21,37892,3543646,1290.0,94580.0
2021-01-20,38905,3505754,1820.0,93290.0
2021-01-19,33355,3466849,1610.0,91470.0
2021-01-18,37535,3433494,599.0,89860.0
2021-01-17,38598,3395959,671.0,89261.0
2021-01-16,41346,3357361,1295.0,88590.0
2021-01-15,55761,3316019,1280.0,87295.0
2021-01-14,48682,3260258,1248.0,86015.0
