date,name,code,cases,deaths
2021-04-19,Hartlepool,E06000001,9480.8,266.9
2021-04-19,Middlesbrough,E06000002,8823.9,242.6
2021-04-19,Redcar and Cleveland,E06000003,6775.8,210.7
2021-04-19,Stockton-on-Tees,E06000004,8032.0,224.0
2021-04-19,Darlington,E06000005,7018.5,231.3
2021-04-19,Halton,E06000006,9211.8,204.8
2021-04-19,Warrington,E06000007,8479.0,231.4
2021-04-19,Blackburn with Darwen,E06000008,12080.5,272.6
2021-04-19,Blackpool,E06000009,6593.2,312.7
2021-04-19,"Kingston upon Hull, City of",E06000010,7597.6,247.9
2021-04-19,East Riding of Yorkshire,E06000011,5307.9,219.5
2021-04-19,North East Lincolnshire,E06000012,5409.8,168.0
2021-04-19,North Lincolnshire,E06000013,5415.2,177.0
2021-04-19,York,E06000014,5793.0,147.2
2021-04-19,Derby,E06000015,7800.2,258.5
2021-04-19,Leicester,E06000016,10290.1,221.0
2021-04-19,Rutland,E06000017,4125.0,152.8
2021-04-19,Nottingham,E06000018,9193.2,184.4
2021-04-19,"Herefordshire, County of",E06000019,3598.0,146.8
2021-04-19,Telford and Wrekin,E06000020,6076.6,142.9
2021-04-19,Stoke-on-Trent,E06000021,7789.4,274.6
2021-04-19,Bath and North East Somerset,E06000022,4245.6,112.8
2021-04-19,"Bristol, City of",E06000023,6627.0,101.0
2021-04-19,North Somerset,E06000024,4670.5,143.2
2021-04-19,South Gloucestershire,E06000025,5317.9,124.5
2021-04-19,Plymouth,E06000026,3478.1,80.1
2021-04-19,Torbay,E06000027,3090.3,112.3
2021-04-19,Swindon,E06000030,5126.6,121.1
2021-04-19,Peterborough,E06000031,7670.4,167.1
2021-04-19,Luton,E06000032,9608.5,233.3
2021-04-19,Southend-on-Sea,E06000033,8056.8,330.9
2021-04-19,Thurrock,E06000034,10244.3,251.2
2021-04-19,Medway,E06000035,9365.1,267.5
2021-04-19,Bracknell Forest,E06000036,5761.8,128.9
2021-04-19,West Berkshire,E06000037,4000.0,109.2
2021-04-19,Reading,E06000038,6717.8,161.3
2021-04-19,Slough,E06000039,10311.7,192.6
2021-04-19,Windsor and Maidenhead,E06000040,5573.2,195.5
2021-04-19,Wokingham,E06000041,4783.2,133.2
2021-04-19,Milton Keynes,E06000042,7436.1,171.8
2021-04-19,Brighton and Hove,E06000043,4979.6,127.5
2021-04-19,Portsmouth,E06000044,6625.3,171.2
2021-04-19,Southampton,E06000045,5817.4,125.9
2021-04-19,Isle of Wight,E06000046,4783.1,182.0
2021-04-19,County Durham,E06000047,7140.8,235.1
2021-04-19,Cheshire East,E06000049,5420.5,207.5
2021-04-19,Cheshire West and Chester,E06000050,6320.8,252.7
2021-04-19,Shropshire,E06000051,4632.4,172.7
2021-04-19,Cornwall and Isles of Scilly,E06000052,2473.8,81.8
2021-04-19,Wiltshire,E06000054,3431.4,130.0
