date,areaCode,areaName,areaType,cumVaccinationFirstDoseUptakeByPublishDatePercentage
2021-04-19,K02000001,United Kingdom,overview,62.7
2021-04-18,K02000001,United Kingdom,overview,62.5
2021-04-17,K02000001,United Kingdom,overview,62.4
2021-04-16,K02000001,United Kingdom,overview,62.1
2021-04-15,K02000001,United Kingdom,overview,61.8
2021-04-14,K02000001,United Kingdom,overview,61.6
2021-04-13,K02000001,United Kingdom,overview,61.4
2021-04-12,K02000001,United Kingdom,overview,61.2
2021-04-11,K02000001,United Kingdom,overview,61.1
2021-04-10,K02000001,United Kingdom,overview,61.0
2021-04-09,K02000001,United Kingdom,overview,60.8
2021-04-08,K02000001,United Kingdom,overview,60.6
2021-04-07,K02000001,United Kingdom,overview,60.4
2021-04-06,K02000001,United Kingdom,overview,60.2
2021-04-05,K02000001,United Kingdom,overview,60.0
2021-04-04,K02000001,United Kingdom,overview,60.0
2021-04-03,K02000001,United Kingdom,overview,59.9
2021-04-02,K02000001,United Kingdom,overview,59.7
2021-04-01,K02000001,United Kingdom,overview,59.5
2021-03-31,K02000001,United Kingdom,overview,59.1
2021-03-30,K02000001,United Kingdom,overview,58.7
2021-03-29,K02000001,United Kingdom,overview,58.2
2021-03-28,K02000001,United Kingdom,overview,57.8
2021-03-27,K02000001,United Kingdom,overview,57.2
2021-03-26,K02000001,United Kingdom,overview,56.4
2021-03-25,K02000001,United Kingdom,overview,55.7
2021-03-24,K02000001,United Kingdom,overview,55.0
2021-03-23,K02000001,United Kingdom,overview,54.4
2021-03-22,K02000001,United Kingdom,overview,53.8
2021-03-21,K02000001,United Kingdom,overview,53.2
2021-03-20,K02000001,United Kingdom,overview,52.5
2021-03-19,K02000001,United Kingdom,overview,51.0
2021-03-18,K02000001,United Kingdom,overview,49.9
2021-03-17,K02000001,United Kingdom,overview,48.9
2021-03-16,K02000001,United Kingdom,overview,48.0
2021-03-15,K02000001,United Kingdom,overview,47.2
2021-03-14,K02000001,United Kingdom,overview,46.4
2021-03-13,K02000001,United Kingdom,overview,45.9
2021-03-12,K02000001,United Kingdom,overview,45.0
2021-03-11,K02000001,United Kingdom,overview,44.3
2021-03-10,K02000001,United Kingdom,overview,43.8
2021-03-09,K02000001,United Kingdom,overview,43.3
2021-03-08,K02000001,United Kingdom,overview,42.9
2021-03-07,K02000001,United Kingdom,overview,42.5
2021-03-06,K02000001,United Kingdom,overview,42.2
2021-03-05,K02000001,United Kingdom,overview,41.4
2021-03-04,K02000001,United Kingdom,overview,40.5
2021-03-03,K02000001,United Kingdom,overview,39.8
2021-03-02,K02000001,United Kingdom,overview,39.3
2021-03-01,K02000001,United Kingdom,overview,38.9
2021-02-28,K02000001,United Kingdom,overview,38.5
2021-02-27,K02000001,United Kingdom,overview,38.1
2021-02-26,K02000001,United Kingdom,overview,37.4
2021-02-25,K02000001,United Kingdom,overview,36.4
2021-02-24,K02000001,United Kingdom,overview,35.5
2021-02-23,K02000001,United Kingdom,overview,34.6
2021-02-22,K02000001,United Kingdom,overview,34.0
2021-02-21,K02000001,United Kingdom,overview,33.6
2021-02-20,K02000001,United Kingdom,overview,33.4
2021-02-19,K02000001,United Kingdom,overview,32.7
2021-02-18,K02000001,United Kingdom,overview,32.0
2021-02-17,K02000001,United Kingdom,overview,31.2
2021-02-16,K02000001,United Kingdom,overview,30.3
2021-02-15,K02000001,United Kingdom,overview,29.6
2021-02-14,K02000001,United Kingdom,overview,29.0
2021-02-13,K02000001,United Kingdom,overview,28.6
2021-02-12,K02000001,United Kingdom,overview,27.6
2021-02-11,K02000001,United Kingdom,overview,26.6
2021-02-10,K02000001,United Kingdom,overview,25.6
2021-02-09,K02000001,United Kingdom,overview,24.8
2021-02-08,K02000001,United Kingdom,overview,24.0
2021-02-07,K02000001,United Kingdom,overview,23.3
2021-02-06,K02000001,United Kingdom,overview,22.8
2021-02-05,K02000001,United Kingdom,overview,21.8
2021-02-04,K02000001,United Kingdom,overview,20.8
2021-02-03,K02000001,United Kingdom,overview,19.9
2021-02-02,K02000001,United Kingdom,overview,19.0
2021-02-01,K02000001,United Kingdom,overview,18.3
2021-01-31,K02000001,United Kingdom,overview,17.6
2021-01-30,K02000001,United Kingdom,overview,17.0
2021-01-29,K02000001,United Kingdom,overview,15.9
2021-01-28,K02000001,United Kingdom,overview,15.0
2021-01-27,K02000001,United Kingdom,overview,14.2
2021-01-26,K02000001,United Kingdom,overview,13.6
2021-01-25,K02000001,United Kingdom,overview,13.0
2021-01-24,K02000001,United Kingdom,overview,12.5
2021-01-23,K02000001,United Kingdom,overview,12.1
2021-01-22,K02000001,United Kingdom,overview,11.1
2021-01-21,K02000001,United Kingdom,overview,10.2
2021-01-20,K02000001,United Kingdom,overview,9.4
2021-01-19,K02000001,United Kingdom,overview,8.8
2021-01-18,K02000001,United Kingdom,overview,8.1
2021-01-17,K02000001,United Kingdom,overview,7.7
2021-01-16,K02000001,United Kingdom,overview,7.4
2021-01-15,K02000001,United Kingdom,overview,6.8
2021-01-14,K02000001,United Kingdom,overview,6.1
2021-01-13,K02000001,United Kingdom,overview,5.5
2021-01-12,K02000001,United Kingdom,overview,5.0
2021-01-11,K02000001,United Kingdom,overview,4.6
2021-01-10,K02000001,United Kingdom,overview,4.3
