date,areaCode,areaName,areaType,covidOccupiedMVBeds
2021-04-19,K02000001,United Kingdom,overview,318
2021-04-18,K02000001,United Kingdom,overview,311
2021-04-17,K02000001,United Kingdom,overview,323
2021-04-16,K02000001,United Kingdom,overview,332
2021-04-15,K02000001,United Kingdom,overview,329
2021-04-14,K02000001,United Kingdom,overview,351
2021-04-13,K02000001,United Kingdom,overview,370
2021-04-12,K02000001,United Kingdom,overview,377
2021-04-11,K02000001,United Kingdom,overview,385
2021-04-10,K02000001,United Kingdom,overview,385
2021-04-09,K02000001,United Kingdom,overview,405
2021-04-08,K02000001,United Kingdom,overview,421
2021-04-07,K02000001,United Kingdom,overview,440
2021-04-06,K02000001,United Kingdom,overview,453
2021-04-05,K02000001,United Kingdom,overview,461
2021-04-04,K02000001,United Kingdom,overview,469
2021-04-03,K02000001,United Kingdom,overview,478
2021-04-02,K02000001,United Kingdom,overview,485
2021-04-01,K02000001,United Kingdom,overview,517
2021-03-31,K02000001,United Kingdom,overview,547
2021-03-30,K02000001,United Kingdom,overview,568
2021-03-29,K02000001,United Kingdom,overview,583
2021-03-28,K02000001,United Kingdom,overview,582
2021-03-27,K02000001,United Kingdom,overview,594
2021-03-26,K02000001,United Kingdom,overview,615
2021-03-25,K02000001,United Kingdom,overview,630
2021-03-24,K02000001,United Kingdom,overview,682
2021-03-23,K02000001,United Kingdom,overview,711
2021-03-22,K02000001,United Kingdom,overview,748
2021-03-21,K02000001,United Kingdom,overview,768
2021-03-20,K02000001,United Kingdom,overview,787
2021-03-19,K02000001,United Kingdom,overview,830
2021-03-18,K02000001,United Kingdom,overview,879
2021-03-17,K02000001,United Kingdom,overview,925
2021-03-16,K02000001,United Kingdom,overview,968
2021-03-15,K02000001,United Kingdom,overview,1016
2021-03-14,K02000001,United Kingdom,overview,1049
2021-03-13,K02000001,United Kingdom,overview,1087
2021-03-12,K02000001,United Kingdom,overview,1110
2021-03-11,K02000001,United Kingdom,overview,1192
2021-03-10,K02000001,United Kingdom,overview,1236
2021-03-09,K02000001,United Kingdom,overview,1292
2021-03-08,K02000001,United Kingdom,overview,1356
2021-03-07,K02000001,United Kingdom,overview,1394
2021-03-06,K02000001,United Kingdom,overview,1449
2021-03-05,K02000001,United Kingdom,overview,1542
2021-03-04,K02000001,United Kingdom,overview,1589
2021-03-03,K02000001,United Kingdom,overview,1647
2021-03-02,K02000001,United Kingdom,overview,1709
2021-03-01,K02000001,United Kingdom,overview,1806
2021-02-28,K02000001,United Kingdom,overview,1783
2021-02-27,K02000001,United Kingdom,overview,1903
2021-02-26,K02000001,United Kingdom,overview,1971
2021-02-25,K02000001,United Kingdom,overview,2047
2021-02-24,K02000001,United Kingdom,overview,2118
2021-02-23,K02000001,United Kingdom,overview,2149
2021-02-22,K02000001,United Kingdom,overview,2273
2021-02-21,K02000001,United Kingdom,overview,2329
2021-02-20,K02000001,United Kingdom,overview,2358
2021-02-19,K02000001,United Kingdom,overview,2469
2021-02-18,K02000001,United Kingdom,overview,2535
2021-02-17,K02000001,United Kingdom,overview,2614
2021-02-16,K02000001,United Kingdom,overview,2708
2021-02-15,K02000001,United Kingdom,overview,2805
2021-02-14,K02000001,United Kingdom,overview,2851
2021-02-13,K02000001,United Kingdom,overview,2842
2021-02-12,K02000001,United Kingdom,overview,2943
2021-02-11,K02000001,United Kingdom,overview,3036
2021-02-10,K02000001,United Kingdom,overview,3132
2021-02-09,K02000001,United Kingdom,overview,3164
2021-02-08,K02000001,United Kingdom,overview,3230
2021-02-07,K02000001,United Kingdom,overview,3302
2021-02-06,K02000001,United Kingdom,overview,3373
2021-02-05,K02000001,United Kingdom,overview,3505
2021-02-04,K02000001,United Kingdom,overview,3572
2021-02-03,K02000001,United Kingdom,overview,3628
2021-02-02,K02000001,United Kingdom,overview,3638
2021-02-01,K02000001,United Kingdom,overview,3726
2021-01-31,K02000001,United Kingdom,overview,3687
2021-01-30,K02000001,United Kingdom,overview,3806
2021-01-29,K02000001,United Kingdom,overview,3832
2021-01-28,K02000001,United Kingdom,overview,3918
2021-01-27,K02000001,United Kingdom,overview,3937
2021-01-26,K02000001,United Kingdom,overview,3961
2021-01-25,K02000001,United Kingdom,overview,4032
2021-01-24,K02000001,United Kingdom,overview,4077
2021-01-23,K02000001,United Kingdom,overview,4066
2021-01-22,K02000001,United Kingdom,overview,4076
2021-01-21,K02000001,United Kingdom,overview,3960
2021-01-20,K02000001,United Kingdom,overview,3953
2021-01-19,K02000001,United Kingdom,overview,3947
2021-01-18,K02000001,United Kingdom,overview,3916
2021-01-17,K02000001,United Kingdom,overview,3871
2021-01-16,K02000001,United Kingdom,overview,3854
2021-01-15,K02000001,United Kingdom,overview,3789
2021-01-14,K02000001,United Kingdom,overview,3672
2021-01-13,K02000001,United Kingdom,overview,3626
2021-01-12,K02000001,United Kingdom,overview,3496
2021-01-11,K02000001,United Kingdom,overview,3363
2021-01-10,K02000001,United Kingdom,overview,3264
2021-01-09,K02000001,United Kingdom,overview,3145
2021-01-08,K02000001,United Kingdom,overview,3098
2021-01-07,K02000001,United Kingdom,overview,2929
2021-01-06,K02000001,United Kingdom,overview,2821
2021-01-05,K02000001,United Kingdom,overview,2645
2021-01-04,K02000001,United Kingdom,overview,2560
2021-01-03,K02000001,United Kingdom,overview,2420
2021-01-02,K02000001,United Kingdom,overview,2256
2021-01-01,K02000001,United Kingdom,overview,2162
2020-12-31,K02000001,United Kingdom,overview,2122
2020-12-30,K02000001,United Kingdom,overview,2066
2020-12-29,K02000001,United Kingdom,overview,1939
2020-12-28,K02000001,United Kingdom,overview,1847
2020-12-27,K02000001,United Kingdom,overview,1751
2020-12-26,K02000001,United Kingdom,overview,1682
2020-12-25,K02000001,United Kingdom,overview,1616
2020-12-24,K02000001,United Kingdom,overview,1607
2020-12-23,K02000001,United Kingdom,overview,1554
2020-12-22,K02000001,United Kingdom,overview,1529
2020-12-21,K02000001,United Kingdom,overview,1512
2020-12-20,K02000001,United Kingdom,overview,1442
2020-12-19,K02000001,United Kingdom,overview,1412
2020-12-18,K02000001,United Kingdom,overview,1364
2020-12-17,K02000001,United Kingdom,overview,1366
2020-12-16,K02000001,United Kingdom,overview,1340
2020-12-15,K02000001,United Kingdom,overview,1326
2020-12-14,K02000001,United Kingdom,overview,1288
2020-12-13,K02000001,United Kingdom,overview,1281
2020-12-12,K02000001,United Kingdom,overview,1243
2020-12-11,K02000001,United Kingdom,overview,1275
2020-12-10,K02000001,United Kingdom,overview,1267
2020-12-09,K02000001,United Kingdom,overview,1243
2020-12-08,K02000001,United Kingdom,overview,1272
